"ext","category","description","product","is_project"
﻿ext      ,category                                                                                                                                                                                                                                                       ,description,product                                                                                                                                                                                                                                                        ,is_project                                                                                                                                                                                                                                                     
$$$       ,geology                                                                                                                                                                                                                                                        ,NGT Grid ($$$),,
_dt2      ,geography                                                                                                                                                                                                                                                      ,ГИС Интегро,,
_ev2      ,geography                                                                                                                                                                                                                                                      ,ГИС Интегро,,
_ip       ,geography                                                                                                                                                                                                                                                      ,ГИС Интегро,GIS Integro                                                                                                                                                                                                                                                    ,Project File                                                                                                                                                                                                                                                   
_rg       ,geography                                                                                                                                                                                                                                                      ,ГИС Интегро,,
"7z        ",archive                                                                                                                                                                                                                                                        ,"7z archive",,
accdb     ,database                                                                                                                                                                                                                                                       ,Access Database,,
adf       ,geography                                                                                                                                                                                                                                                      ,ESRI Arc/Info Binary Grid,ArcGIS                                                                                                                                                                                                                                                         ,
agr       ,geography                                                                                                                                                                                                                                                      ,ESRI ArcInfo ASCII Grid,ArcGIS                                                                                                                                                                                                                                                         ,
ai        ,office                                                                                                                                                                                                                                                         ,Adobe Illustrator Project File,,
aig       ,geography                                                                                                                                                                                                                                                      ,ESRI ArcInfo ASCII Grid,ArcGIS                                                                                                                                                                                                                                                         ,
am        ,geology                                                                                                                                                                                                                                                        ,Amira Mesh,,
apr       ,geography                                                                                                                                                                                                                                                      ,ESRi ArcView 3.x project,ArcGIS                                                                                                                                                                                                                                                         ,Project File                                                                                                                                                                                                                                                   
arj       ,archive                                                                                                                                                                                                                                                        ,ARJ file Archive,,
asc       ,geology                                                                                                                                                                                                                                                        ,Text file format,,
asm       ,programming                                                                                                                                                                                                                                                    ,Asm programming,,
csv       ,text                                                                                                                                                                                                                                                           ,Comma Separated Text,,
atx       ,geography                                                                                                                                                                                                                                                      ,ESRI GeoDatabase  table Index,ArcGIS                                                                                                                                                                                                                                                         ,
aux       ,geography                                                                                                                                                                                                                                                      ,ESRI ArcGis Raster,ArcGIS                                                                                                                                                                                                                                                         ,
avi       ,video                                                                                                                                                                                                                                                          ,AVI media ,,
bak       ,archive                                                                                                                                                                                                                                                        ,BackUp file,,
bas       ,programming                                                                                                                                                                                                                                                    ,Basic or VisualBasic File,,
bat       ,executables                                                                                                                                                                                                                                                    ,Executables,,
bin       ,binary                                                                                                                                                                                                                                                         ,Binary format,,
bln       ,geography                                                                                                                                                                                                                                                      ,Text file format  Surfer,,
bmp       ,image                                                                                                                                                                                                                                                          ,Windows Bitmap,,
bna       ,geography                                                                                                                                                                                                                                                      ,Atlas bna file,,
bpg       ,image                                                                                                                                                                                                                                                          ,Better Portable Graphics format,,
